latitude,longitude,location,area
-8.25,124.75,"-8.29114485,124.7777164000955","Alor, East Nusa Tenggara"
-8.5,123.5,"-8.37814435,123.54462658999076","Lembata, East Nusa Tenggara"
-8.25,123.25,"-8.318462,123.16579632309583","Flores Timur, East Nusa Tenggara"
-8.5,122.0,"-8.5946841,122.0926352227644","Sikka, East Nusa Tenggara"
-8.75,121.75,"-8.6728675,121.69291732410474","Ende, East Nusa Tenggara"
-8.5,120.5,"-8.5480146,120.43898618548442","Manggarai, East Nusa Tenggara"
-10.75,123.25,"-10.68702915,123.20843503116711","Rote Ndao, East Nusa Tenggara"
-8.5,120.0,"-8.5741281,120.06112521397348","Manggarai Barat, East Nusa Tenggara"
-9.5,119.75,"-9.5935839,119.66627706284194","Sumba Tengah, East Nusa Tenggara"
-9.5,119.25,"-9.537821,119.16230194503792","Sumba Barat Daya, East Nusa Tenggara"
-8.75,121.25,"-8.67588695,121.27080266734956","Nagekeo, East Nusa Tenggara"
-8.5,120.75,"-8.57382735,120.6863591076901","Manggarai Timur, East Nusa Tenggara"
1.25,109.25,"1.33230095,109.3175718993474","Sambas, West Kalimantan"
0.75,109.5,"0.8354748999999999,109.48705663109828","Bengkayang, West Kalimantan"
0.25,109.75,"0.3279499999999999,109.68302672635323","Sengah Temila, West Kalimantan"
0.0,109.25,"-0.0226903,109.3447488","Pontianak, West Kalimantan"
0.0,110.5,"0.0607056,110.59119887380464","Kapuas, West Kalimantan"
-1.75,110.0,"-1.8477454,109.9727296","Delta Pawan, West Kalimantan"
0.0,111.5,"0.0633132,111.502333068362","Sintang, West Kalimantan"
-2.0,114.25,"-1.9228793,114.33636187676184","Kapuas, Central Kalimantan"
0.0,111.0,"0.05199305,110.8982045022521","Sekadau Hilir, West Kalimantan"
-0.75,111.75,"-0.73455255,111.7329975279168","Sayan, West Kalimantan"
-1.0,110.0,"-1.04815045,110.07314421554506","Simpang Hilir, West Kalimantan"
-0.25,109.75,"-0.2240804,109.77822835857454","Sungai Raya, West Kalimantan"
1.0,109.0,"0.9069861,108.9889657","Singkawang, West Kalimantan"
0.0,110.0,"0.0160628,110.1032777229907","Tayan Hilir, West Kalimantan"
-2.0,114.75,"-1.9228793,114.7888903619555","South Barito, Central Kalimantan"
-0.75,115.0,"-0.75421105,115.04514465808126","North Barito, Central Kalimantan"
-2.5,111.25,"-2.5602491,111.18377187972833","Sukamara, Central Kalimantan"
-1.75,111.5,"-1.77887445,111.41731653517353","Lamandau, Central Kalimantan"
-2.0,112.25,"-2.12017655,112.16502507460932","Seruyan, Central Kalimantan"
-2.75,114.25,"-2.746171,114.2622421","Pulang Pisau, Central Kalimantan"
-6.75,107.0,"-6.70841215,106.96227504141362","Cisarua, West Java"
-2.0,115.25,"-1.98191085,115.18038763971668","East Barito, Central Kalimantan"
0.0,114.25,"-0.06845085,114.17318186408708","Murung Raya, Central Kalimantan"
-2.25,114.0,"-2.2072919,113.9164372","Palangka Raya, Central Kalimantan"
-3.75,115.0,"-3.8440385,114.98885931183128","Tanah Laut, South Kalimantan"
-3.0,114.75,"-3.01929635,114.6779323066177","Barito Kuala, South Kalimantan"
-2.75,115.0,"-2.86227295,115.01096398201116","Tapin, South Kalimantan"
-2.75,115.25,"-2.71258085,115.15877705354862","Hulu Sungai Selatan, South Kalimantan"
-2.5,115.5,"-2.6187577,115.42929968958292","Hulu Sungai Tengah, South Kalimantan"
-2.5,115.25,"-2.4242449,115.15970607601024","Hulu Sungai Utara, South Kalimantan"
-1.75,115.5,"-1.8363209,115.51553368747264","Tabalong, South Kalimantan"
-3.5,115.75,"-3.44733285,115.70639332550724","Tanah Bumbu, South Kalimantan"
-2.25,115.5,"-2.28789725,115.62054766845203","Balangan, South Kalimantan"
-3.25,114.5,"-3.3187496,114.5925828","Banjarmasin, South Kalimantan"
-3.5,114.75,"-3.4397517,114.8309351","Banjarbaru, South Kalimantan"
-1.75,116.0,"-1.6896674,116.01582182012989","Paser, East Kalimantan"
0.75,116.25,"0.7884397,116.2419977","East Kalimantan, East Kalimantan"
0.25,116.25,"0.1956330499999999,116.20041670228474","Kutai Kartanegara, East Kalimantan"
1.75,117.25,"1.77675355,117.26917636895378","Berau, East Kalimantan"
2.5,115.75,"2.6185545,115.69049695186618","Malinau, North Kalimantan"
2.75,117.0,"2.76203405,117.07434677546522","Bulungan, North Kalimantan"
4.0,117.0,"3.9074565,117.04235063789662","Nunukan, North Kalimantan"
-1.25,116.5,"-1.1973862,116.567303267351","Penajam Paser Utara, East Kalimantan"
3.5,117.0,"3.5553285,117.04466025559536","Tana Tidung, North Kalimantan"
-1.25,116.75,"-1.2398711,116.8593379","Balikpapan, East Kalimantan"
-0.5,117.25,"-0.5017804,117.1393089","Samarinda, East Kalimantan"
