name,state,lat,lon
Manggarai Timur,East Nusa Tenggara,-8.57382735,120.6863591076901
Kupang,East Nusa Tenggara,-10.1632209,123.6017755
Sambas,West Kalimantan,1.33230095,109.3175718993474
Bengkayang,West Kalimantan,0.8354748999999999,109.48705663109827
Sengah Temila,West Kalimantan,0.32794999999999996,109.68302672635323
Pontianak,West Kalimantan,-0.0226903,109.3447488
Kapuas,West Kalimantan,0.0607056,110.59119887380464
Delta Pawan,West Kalimantan,-1.8477454,109.9727296
Sintang,West Kalimantan,0.0633132,111.50233306836199
Kapuas,Central Kalimantan,-1.9228793,114.33636187676184
Sekadau Hilir,West Kalimantan,0.05199305,110.8982045022521
Sayan,West Kalimantan,-0.73455255,111.73299752791681
Simpang Hilir,West Kalimantan,-1.04815045,110.07314421554506
Sungai Raya,West Kalimantan,-0.2240804,109.77822835857454
Pontianak,West Kalimantan,-0.0226903,109.3447488
Singkawang,West Kalimantan,0.9069861,108.9889657
Tayan Hilir,West Kalimantan,0.016062800000000002,110.1032777229907
South Barito,Central Kalimantan,-1.9228793,114.7888903619555
North Barito,Central Kalimantan,-0.75421105,115.04514465808126
Sukamara,Central Kalimantan,-2.5602491,111.18377187972831
Lamandau,Central Kalimantan,-1.77887445,111.41731653517351
Seruyan,Central Kalimantan,-2.12017655,112.16502507460933
Katingan,Central Kalimantan,-1.85955785,113.33690507947381
Pulang Pisau,Central Kalimantan,-2.746171,114.2622421
Cisarua,West Java,-6.70841215,106.96227504141362
East Barito,Central Kalimantan,-1.98191085,115.18038763971668
Murung Raya,Central Kalimantan,-0.06845085,114.17318186408708
Palangka Raya,Central Kalimantan,-2.2072919,113.9164372
Tanah Laut,South Kalimantan,-3.8440385,114.98885931183128
Banjar,West Java,-7.3695648,108.5415225
Barito Kuala,South Kalimantan,-3.01929635,114.6779323066177
Tapin,South Kalimantan,-2.86227295,115.01096398201116
Hulu Sungai Selatan,South Kalimantan,-2.71258085,115.15877705354862
Hulu Sungai Tengah,South Kalimantan,-2.6187577,115.42929968958293
Hulu Sungai Utara,South Kalimantan,-2.4242449,115.15970607601024
Tabalong,South Kalimantan,-1.8363209,115.51553368747264
Tanah Bumbu,South Kalimantan,-3.44733285,115.70639332550724
Balangan,South Kalimantan,-2.28789725,115.62054766845205
Banjarmasin,South Kalimantan,-3.3187496,114.5925828
Banjarbaru,South Kalimantan,-3.4397517,114.8309351
Paser,East Kalimantan,-1.6896674,116.01582182012987
East Kalimantan,East Kalimantan,0.7884397,116.2419977
Kutai Kartanegara,East Kalimantan,0.19563304999999998,116.20041670228474
Kutai Timur,East Kalimantan,0.9453606999999999,117.01108842636916
Berau,East Kalimantan,1.77675355,117.26917636895378
Malinau,North Kalimantan,2.6185545,115.69049695186618
Bulungan,North Kalimantan,2.76203405,117.07434677546522
Nunukan,North Kalimantan,3.9074565000000003,117.04235063789662
Penajam Paser Utara,East Kalimantan,-1.1973862,116.56730326735101
Tana Tidung,North Kalimantan,3.5553285,117.04466025559535
Balikpapan,East Kalimantan,-1.2398711,116.8593379
Samarinda,East Kalimantan,-0.5017804,117.1393089
Tarakan,North Kalimantan,3.3000169,117.6330159
Bontang,East Kalimantan,0.1236548,117.471708
Bolaang Mongondow,North Sulawesi,0.7207701,123.98703667287687
Minahasa Tenggara,North Sulawesi,0.98826725,124.7306505503255
Kepulauan Sangihe,North Sulawesi,3.5527078999999997,125.54656453706113
Talaud Islands,North Sulawesi,4.2694929,126.81354994457188
Minahasa Selatan,North Sulawesi,1.07031,124.43616224074206
Minahasa Utara,North Sulawesi,1.5183648,125.00042644621239
Bolaang Mongondow Utara,North Sulawesi,0.7599112,123.48493750899733
North Sulawesi,North Sulawesi,0.6555692,124.090151
Minahasa Tenggara,North Sulawesi,0.98826725,124.7306505503255
Manado,North Sulawesi,1.4900578,124.8408708
Bitung,North Sulawesi,1.44344,125.1940836
Tomohon,North Sulawesi,1.3255914,124.838605
Kotamobagu,North Sulawesi,0.7352231,124.3154057
Banggai Laut Regency,Central Sulawesi,-1.8427943,123.10260764338364
Banggai Laut Regency,Central Sulawesi,-1.8427943,123.10260764338364
Bungku Barat,Central Sulawesi,-2.35515285,121.65622391958854
Poso Regency,Central Sulawesi,-1.6568513,120.5421575
Donggala Regency,Central Sulawesi,-1.04782015,119.67584652002927
Kecamatan Ogo Deide,Central Sulawesi,0.88087905,120.69572672726544
Buol,Central Sulawesi,1.0123735,121.3120524
Parigi Moutong Regency,Central Sulawesi,-0.23836055,119.95993110540971
Tojo Una-Una Regency,Central Sulawesi,-1.21313785,121.61960745763055
Kecamatan Ulujadi,Central Sulawesi,-0.896493,119.85558786680411
Pangkajene dan Kepulauan,South Sulawesi,-4.75444955,119.58931052015694
Barru,South Sulawesi,-4.4337339,119.67782733955559
Pinrang,South Sulawesi,-3.7932568,119.6528692
Enrekang,South Sulawesi,-3.5657184,119.7724109
South Sulawesi,South Sulawesi,-3.6446718,119.9471906
Tana Toraja Regency,South Sulawesi,-3.1169403,119.6937644
South Sulawesi,South Sulawesi,-3.6446718,119.9471906
South Sulawesi,South Sulawesi,-3.6446718,119.9471906
Makassar,South Sulawesi,-5.1342962,119.4124282
Pare-Pare,South Sulawesi,-4.0057055,119.6236101
Palopo,South Sulawesi,-2.9996306,120.1920679
Buton,Southeast Sulawesi,-5.35434535,122.95065902964967
Muna Barat,Southeast Sulawesi,-4.80367125,122.45145451148004
Konawe,Southeast Sulawesi,-3.5116689,121.6523286664166
Kolaka,Southeast Sulawesi,-4.1213511,121.69294438375823
Konawe Selatan,Southeast Sulawesi,-4.2599185,122.4498522428052
Bombana,Southeast Sulawesi,-4.6392558,121.75721102650508
Wakatobi,Southeast Sulawesi,-5.3156704,123.58504369734993
Kolaka Utara,Southeast Sulawesi,-3.2605039,121.09339837246316
Southeast Sulawesi,Southeast Sulawesi,-3.5491199,121.7279646
Konawe Utara,Southeast Sulawesi,-3.4549579,121.97625695169512
Kendari,Southeast Sulawesi,-3.9918068,122.5180066
Baubau,Southeast Sulawesi,-5.4620298,122.6057655
Boalemo,Gorontalo,0.6876201500000001,122.3356833162286
Gorontalo,Gorontalo,0.5384433,123.0594971
Pohuwato,Gorontalo,0.70182105,121.64707463776901
Bone Bolango,Gorontalo,0.5564031,123.30997053104662
Gorontalo Utara,Gorontalo,0.86619755,123.04952863746922
Gorontalo,Gorontalo,0.5384433,123.0594971
Majene,West Sulawesi,-3.5459286,118.9607438
Polewali Mandar,West Sulawesi,-3.3031896,119.1450522025905
Mamasa,West Sulawesi,-3.0003659,119.32090868335239
Mamuju,West Sulawesi,-2.6757443,118.8885839
Pasangkayu,West Sulawesi,-1.3447436,119.37951116599089
Kepulauan Tanimbar,Maluku,-7.5740504,131.42239399371346
Maluku Tenggara,Maluku,-5.77148835,132.73776002114303
Maluku Tengah,Maluku,-3.1214456,129.45999219128663
Buru,Maluku,-3.35390945,126.64891836944999
Aru Islands,Maluku,-6.2281475,134.49796567482778
Seram Bagian Barat,Maluku,-3.1642057,128.48365583768998
Seram Bagian Timur,Maluku,-3.42315865,130.3910924134346
Ambon,Maluku,-3.6959434,128.178785
Tual,Maluku,-5.6389933,132.7429249
Halmahera Timur,North Maluku,1.0027852,128.24879355139635
Halmahera Timur,North Maluku,1.0027852,128.24879355139635
North Maluku,North Maluku,0.6301215,127.9720219
Halmahera Timur,North Maluku,1.0027852,128.24879355139635
Halmahera Timur,North Maluku,1.0027852,128.24879355139635
Halmahera Timur,North Maluku,1.0027852,128.24879355139635
Ternate,North Maluku,0.7852338,127.3831752
Tidore Kepulauan,North Maluku,0.6786796,127.4483156
Fakfak,West Papua,-3.27040235,133.08884774738942
Kaimana,West Papua,-3.51583585,134.3165746374882
Teluk Wondama,West Papua,-2.63252505,134.5661466112706
Teluk Bintuni,West Papua,-2.1138854,133.5287755
Manokwari,West Papua,-0.8614456,134.0767324
Sorong,Southwest Papua,-0.8634105,131.2544805
Sorong,Southwest Papua,-0.8634105,131.2544805
Raja Ampat,Southwest Papua,-0.7125553,130.30344727618905
Sorong,Southwest Papua,-0.8634105,131.2544805
Mandala,South Papua,-8.5067725,140.4052487
Muliama,Highland Papua,-4.00515595,138.79116670619032
Jayapura,Papua,-2.5387539,140.7037389
Kabupaten Nabire,Central Papua,-3.34679705,135.95027197764264
Yapen Islands Regency,Papua,-1.7558371,136.36645232326111
Biak Numfor,Papua,-0.94260305,135.94141931810083
Paniai,Central Papua,-3.7426381,136.37780657611273
Mimika,Central Papua,-4.58752585,136.94779637745836
Boven Digoel,South Papua,-6.1058244,140.3130821
Mappi,South Papua,-6.3295533,139.2877311769568
Asmat,South Papua,-5.53144865,138.78969207926625
Yahukimo,Highland Papua,-4.3739458,139.46481619972155
Pegunungan Bintang,Highland Papua,-4.47549205,140.55767765000002
Tolikara,Highland Papua,-3.4496601,138.34912941377996
Sarmi,Papua,-1.8546889,138.7492642
Keerom,Papua,-3.33359215,140.67266248352973
Waropen Regency,Papua,-2.71879645,136.65041114488832
Supiori,Papua,-0.7535972,135.63496449965294
Mamberamo Raya,Papua,-2.39570045,137.81688352876023
Jayapura,Papua,-2.5387539,140.7037389
North Labuhanbatu,North Sumatra,2.4634731,99.72287582407526
South Labuhanbatu,North Sumatra,1.83365285,100.06837229666323
West Nias,North Sumatra,0.8964868,97.34332682
West Nias,North Sumatra,0.8964868,97.34332682
Gunungsitoli,North Sumatra,1.2900569,97.6150768
Tebing Tinggi Barat,Riau,0.87785565,102.52801484903827
Sungai Penuh,Jambi,-2.0706799,101.3961054
Bengkulu,Bengkulu,-3.7922858,102.2623797
Tulang Bawang Barat,Lampung,-4.43242555,105.16826426180435
Pringsewu,Lampung,-5.36668925,104.97221206481078
Mesuji,Lampung,-3.97541905,105.37494356303489
Lingga,Riau Islands,-0.5094966,104.41416137114891
Kepulauan Anambas,Riau Islands,2.93890105,105.76025801074812
Sumberadi,Special Region of Yogyakarta,-7.721218,110.337785
South Tangerang,Banten,-6.3227016,106.7085737
Lombok Utara,West Nusa Tenggara,-8.3572425,116.1609208
Sabu Raijua,East Nusa Tenggara,-10.52223145,121.88845836848473
Bongkudai Baru,North Sulawesi,0.7649432,124.443775
